开始记录20240103104830
RX:ID 78c  Data:
02 76 2b 00 00 00 00 00 time：48:30:398
RX:ID 78c  Data:
07 62 fd ff ff ff ff ff time：48:30:398

握手成功第 44 次,  传输了： 89956个数 
TX : ID - 71C, DATA - 18, 2e, 36, 2c, d0, 7, 0, 0time：48:30:398
TX : ID - 71C, DATA - 2f, 2, 0, 10, 0, 0, 0, 40time：48:30:420
TX : ID - 71C, DATA - 20, 1c, 0, 20, 64, 0, 0, 0time：48:30:420
TX : ID - 71C, DATA - 21, 38, 1e, 0, 20, f0, db, 2time：48:30:420
TX : ID - 71C, DATA - 22, 0, 11, 0, 0, 0, d0, 1ctime：48:30:421
TX : ID - 71C, DATA - 23, 0, 20, 64, 0, 0, 0, 96time：48:30:421
TX : ID - 71C, DATA - 24, 1c, 0, 20, f8, db, 2, 0time：48:30:421
TX : ID - 71C, DATA - 25, 12, 0, 0, 0, 48, 1e, 0time：48:30:421
TX : ID - 71C, DATA - 26, 20, 64, 0, 0, 0, ad, 1ctime：48:30:421
TX : ID - 71C, DATA - 27, 0, 20, 0, dc, 2, 0, 13time：48:30:422
TX : ID - 71C, DATA - 28, 0, 0, 0, 9c, 1e, 0, 20time：48:30:422
TX : ID - 71C, DATA - 29, 96, 0, 0, 0, d8, 1c, 0time：48:30:422
TX : ID - 71C, DATA - 2a, 20, 8, dc, 2, 0, 14, 0time：48:30:422
TX : ID - 71C, DATA - 2b, 0, 0, 54, 1e, 0, 20, e8time：48:30:423
TX : ID - 71C, DATA - 2c, 3, 0, 0, 55, 1c, 0, 20time：48:30:423
TX : ID - 71C, DATA - 2d, b0, dc, 2, 0, 15, 0, 0time：48:30:423
TX : ID - 71C, DATA - 2e, 0, cc, 1d, 0, 20, c8, 0time：48:30:423
TX : ID - 71C, DATA - 2f, 0, 0, 74, 1e, 0, 20, b8time：48:30:424
TX : ID - 71C, DATA - 20, dc, 2, 0, 16, 0, 0, 0time：48:30:424
TX : ID - 71C, DATA - 21, fc, 1d, 0, 20, c8, 0, 0time：48:30:424
TX : ID - 71C, DATA - 22, 0, 84, 1d, 0, 20, c0, dctime：48:30:424
TX : ID - 71C, DATA - 23, 2, 0, 17, 0, 0, 0, 60time：48:30:425
TX : ID - 71C, DATA - 24, 1c, 0, 20, c8, 0, 0, 0time：48:30:425
TX : ID - 71C, DATA - 25, 54, 1d, 0, 20, c8, dc, 2time：48:30:425
TX : ID - 71C, DATA - 26, 0, 18, 0, 0, 0, 84, 1ctime：48:30:425
TX : ID - 71C, DATA - 27, 0, 20, e8, 3, 0, 0, actime：48:30:426
TX : ID - 71C, DATA - 28, 1d, 0, 20, d0, dc, 2, 0time：48:30:426
TX : ID - 71C, DATA - 29, ff, ff, ff, ff, ff, ff, fftime：48:30:426
TX : ID - 71C, DATA - 2a, ff, 0, 0, 0, 0, 0, 0time：48:30:426
TX : ID - 71C, DATA - 2b, 0, 0, 1c, 4, 0, 0, 8ctime：48:30:427
TX : ID - 71C, DATA - 2c, 7, 0, 0, 0, 2, 0, 0time：48:30:427
TX : ID - 71C, DATA - 2d, 1, 2, 0, 0, 2, 2, 0time：48:30:427
TX : ID - 71C, DATA - 2e, 0, 3, 2, 0, 0, 4, 2time：48:30:427
