开始记录20240103104809
TX : ID - 71C, DATA - 21, 1, 22, c, 4b, 1a, 70, 5time：48:23:320
TX : ID - 71C, DATA - 22, b0, 5d, f8, 4, fb, a, 4btime：48:23:320
TX : ID - 71C, DATA - 23, 0, 1, 19, 18, 49, 78, 8dtime：48:23:320
TX : ID - 71C, DATA - 24, f8, b, 10, 8d, f8, c, 20time：48:23:320
TX : ID - 71C, DATA - 25, 0, 22, 8d, f8, d, 20, 1btime：48:23:321
TX : ID - 71C, DATA - 26, 5c, 8d, f8, e, 30, e5, e7time：48:23:321
TX : ID - 71C, DATA - 27, 0, bf, 1c, 1a, 0, 20, e4time：48:23:321
TX : ID - 71C, DATA - 28, b, 0, 20, 20, 1b, 0, 20time：48:23:321
TX : ID - 71C, DATA - 29, 0, c, 0, 20, df, 2a, 12time：48:23:322
TX : ID - 71C, DATA - 2a, d0, 0, b5, 83, b0, 7f, 23time：48:23:322
TX : ID - 71C, DATA - 2b, 8d, f8, 0, 30, 8d, f8, 1time：48:23:322
TX : ID - 71C, DATA - 2c, 0, 8d, f8, 2, 10, 3, 21time：48:23:322
TX : ID - 71C, DATA - 2d, 68, 46, ff, f7, 4d, f8, 1time：48:23:323
TX : ID - 71C, DATA - 2e, 22, 8, 4b, 1a, 70, 3, b0time：48:23:323
TX : ID - 71C, DATA - 2f, 5d, f8, 4, fb, a1, f1, 11time：48:23:323
TX : ID - 71C, DATA - 20, 3, db, b2, 1, 2b, 6, d9time：48:23:323
TX : ID - 71C, DATA - 21, 31, 29, 4, d0, a1, f1, 7etime：48:23:323
TX : ID - 71C, DATA - 22, 3, db, b2, 1, 2b, e0, d8time：48:23:324
TX : ID - 71C, DATA - 23, 70, 47, 20, 1b, 0, 20, 11time：48:23:324
TX : ID - 71C, DATA - 24, f0, 80, f, 0, d0, 70, 47time：48:23:324
TX : ID - 71C, DATA - 25, 10, b5, 82, b0, 40, 30, 8dtime：48:23:324
TX : ID - 71C, DATA - 26, f8, 0, 0, 1, f0, 7f, 1time：48:23:325
TX : ID - 71C, DATA - 27, 8d, f8, 1, 10, 0, 23, 8dtime：48:23:325
TX : ID - 71C, DATA - 28, f8, 2, 30, 32, 23, 8d, f8time：48:23:325
TX : ID - 71C, DATA - 29, 3, 30, 1, 24, 8d, f8, 4time：48:23:325
TX : ID - 71C, DATA - 2a, 40, f4, 23, 8d, f8, 5, 30time：48:23:326
TX : ID - 71C, DATA - 2b, 6, 21, 68, 46, ff, f7, 1btime：48:23:326
TX : ID - 71C, DATA - 2c, f8, 2, 4b, 1c, 70, 2, b0time：48:23:326
TX : ID - 71C, DATA - 2d, 10, bd, 0, bf, 20, 1b, 0time：48:23:326
TX : ID - 71C, DATA - 2e, 20, 10, b5, 82, b0, 67, 23time：48:23:326
TX : ID - 71C, DATA - 2f, 8d, f8, 0, 30, 8d, f8, 1time：48:23:327
TX : ID - 71C, DATA - 20, 0, fc, f7, e9, f9, fc, f7time：48:23:327
TX : ID - 71C, DATA - 21, 32, f9, 27, 4b, 1b, 78, 3time：48:23:327
TX : ID - 71C, DATA - 22, 2b, 3, d0, 2, 2b, 16, d0time：48:23:328
TX : ID - 71C, DATA - 23, 2, b0, 10, bd, 24, 4b, 1btime：48:23:328
TX : ID - 71C, DATA - 24, 78, 2, 2b, 25, d0, 1, 22time：48:23:328
TX : ID - 71C, DATA - 25, 21, 4b, 1a, 70, fc, f7, 1ctime：48:23:329
TX : ID - 71C, DATA - 26, f9, 20, 4c, 0, 4, 20, 60time：48:23:329
TX : ID - 71C, DATA - 27, fc, f7, 17, f9, 23, 68, c0time：48:23:329
TX : ID - 71C, DATA - 28, 18, 31, d1, 1, 22, 1c, 4btime：48:23:329
TX : ID - 71C, DATA - 29, 1a, 60, 17, e0, 19, 4b, 1btime：48:23:330
TX : ID - 71C, DATA - 2a, 78, 4, 2b, 10, d0, 3, 22time：48:23:330
TX : ID - 71C, DATA - 2b, 17, 4b, 1a, 70, fc, f7, 7time：48:23:330
TX : ID - 71C, DATA - 2c, f9, 16, 4c, 0, 4, 20, 60time：48:23:330
TX : ID - 71C, DATA - 2d, fc, f7, 2, f9, 23, 68, c0time：48:23:331
TX : ID - 71C, DATA - 2e, 18, 1e, d1, 1, 22, 11, 4btime：48:23:331
TX : ID - 71C, DATA - 2f, 1a, 60, 2, e0, 0, 22, ftime：48:23:331
TX : ID - 71C, DATA - 20, 4b, 1a, 60, e, 4b, 1b, 68time：48:23:331
TX : ID - 71C, DATA - 21, 1a, e, 8d, f8, 2, 20, 1atime：48:23:332
TX : ID - 71C, DATA - 22, c, 8d, f8, 3, 20, 1a, atime：48:23:332
TX : ID - 71C, DATA - 23, 8d, f8, 4, 20, 8d, f8, 5time：48:23:332
TX : ID - 71C, DATA - 24, 30, 1c, 22, 6, 21, 68, 46time：48:23:332
TX : ID - 71C, DATA - 25, fe, f7, c2, ff, 1, 22, 6time：48:23:332
TX : ID - 71C, DATA - 26, 4b, 1a, 70, ba, e7, 20, 60time：48:23:333
TX : ID - 71C, DATA - 27, e7, e7, 20, 60, e5, e7, 18time：48:23:333
TX : ID - 71C, DATA - 28, 1a, 0, 20, 19, 1a, 0, 20time：48:23:333
TX : ID - 71C, DATA - 29, e4, 7, 0, 20, 20, 1b, 0time：48:23:333
TX : ID - 71C, DATA - 2a, 20, 11, f0, 80, f, 0, d0time：48:23:334
TX : ID - 71C, DATA - 2b, 70, 47, 0, b5, 83, b0, 40time：48:23:334
TX : ID - 71C, DATA - 2c, 30, 8d, f8, 0, 0, 1, f0time：48:23:334
TX : ID - 71C, DATA - 2d, 7f, 1, 8d, f8, 1, 10, 2time：48:23:334
TX : ID - 71C, DATA - 2e, 21, 68, 46, fe, f7, a1, fftime：48:23:335
TX : ID - 71C, DATA - 2f, 1, 22, 2, 4b, 1a, 70, 3time：48:23:335
TX : ID - 71C, DATA - 20, b0, 5d, f8, 4, fb, 0, bftime：48:23:335
TX : ID - 71C, DATA - 21, 20, 1b, 0, 20, 0, b5, 83time：48:23:335
TX : ID - 71C, DATA - 22, b0, 71, 23, 8d, f8, 0, 30time：48:23:335
TX : ID - 71C, DATA - 23, 8d, f8, 1, 0, b, a, 8dtime：48:23:336
TX : ID - 71C, DATA - 24, f8, 2, 30, 8d, f8, 3, 10time：48:23:336
TX : ID - 71C, DATA - 25, 8d, f8, 4, 20, b1, f5, 7ftime：48:23:336
TX : ID - 71C, DATA - 26, 4f, 4f, f0, 1c, 2, c, bftime：48:23:336
TX : ID - 71C, DATA - 27, 4, 21, 5, 21, 68, 46, fetime：48:23:337
TX : ID - 71C, DATA - 28, f7, 80, ff, 1, 22, 2, 4btime：48:23:337
TX : ID - 71C, DATA - 29, 1a, 70, 3, b0, 5d, f8, 4time：48:23:337
TX : ID - 71C, DATA - 2a, fb, 20, 1b, 0, 20, 8, 4btime：48:23:338
TX : ID - 71C, DATA - 2b, 98, 42, 0, 0, 0, 0, 0time：48:23:338
TX : ID - 71C, DATA - 2, 10, 3, 0, 0, 0, 0, 0time：48:23:338
RX:ID 78c  Data:
03 7f 10 7e 00 00 00 00 time：48:23:390
TX : ID - 71C, DATA - 4, 31, 1, df, fd, 0, 0, 0time：48:23:802
RX:ID 78c  Data:
03 7f 31 7f 00 00 00 00 time：48:23:803
TX : ID - 71C, DATA - 2, 10, 2, 0, 0, 0, 0, 0time：48:24:301
RX:ID 78c  Data:
06 50 02 00 32 01 f4 00 time：48:24:303
TX : ID - 71C, DATA - 2, 27, 5, 0, 0, 0, 0, 0time：48:24:811
RX:ID 78c  Data:
06 67 05 3b d6 06 f5 00 time：48:24:812
TX : ID - 71C, DATA - 6, 27, 6, ef, 9, 7b, e4, 0time：48:24:818
RX:ID 78c  Data:
02 67 06 00 00 00 00 00 time：48:24:820
TX : ID - 71C, DATA - 14, 7c, 31, 1, df, fc, 43, 0time：48:25:309
RX:ID 78c  Data:
30 00 00 00 00 00 00 00 time：48:25:311
TX : ID - 71C, DATA - 21, 56, 96, 61, 1, 18, f7, 10time：48:25:311
TX : ID - 71C, DATA - 22, e1, 3f, cd, 3, 50, fa, ectime：48:25:311
TX : ID - 71C, DATA - 23, d6, bf, 66, 14, bb, 39, 38time：48:25:311
TX : ID - 71C, DATA - 24, bb, 53, bb, 70, 20, 23, b3time：48:25:311
TX : ID - 71C, DATA - 25, a2, 4e, 38, 3a, e5, e3, 94time：48:25:311
TX : ID - 71C, DATA - 26, d0, 58, 7c, 25, 75, e, a1time：48:25:311
TX : ID - 71C, DATA - 27, 7a, 81, f, ed, a4, b6, datime：48:25:311
TX : ID - 71C, DATA - 28, 49, 6b, 75, 4e, a1, 1d, 7ctime：48:25:312
TX : ID - 71C, DATA - 29, dd, ef, b9, f9, 85, c, d0time：48:25:312
TX : ID - 71C, DATA - 2a, bb, aa, eb, 39, 29, bd, f2time：48:25:312
TX : ID - 71C, DATA - 2b, e2, 2e, 1b, b9, 14, 6a, 19time：48:25:312
TX : ID - 71C, DATA - 2c, 6b, 4b, 33, 71, 98, 55, betime：48:25:312
TX : ID - 71C, DATA - 2d, 42, 60, bb, ad, 6d, 8, fftime：48:25:312
TX : ID - 71C, DATA - 2e, 2a, 44, 18, d3, 79, b1, d6time：48:25:312
TX : ID - 71C, DATA - 2f, 18, 9c, ad, fc, 5, 1e, 95time：48:25:312
TX : ID - 71C, DATA - 20, 35, 47, a1, 6f, 7a, 53, c7time：48:25:313
TX : ID - 71C, DATA - 21, d7, f0, a1, c4, 70, 85, 65time：48:25:313
TX : ID - 71C, DATA - 22, cb, ac, 2, 16, b8, 1a, f5time：48:25:313
TX : ID - 71C, DATA - 23, 96, ca, d7, 83, 97, 76, 5ctime：48:25:313
TX : ID - 71C, DATA - 24, 18, 57, 0, bf, d3, 8, b6time：48:25:313
TX : ID - 71C, DATA - 25, 81, 1f, d1, 21, 75, 56, fftime：48:25:313
TX : ID - 71C, DATA - 26, 2e, e, f3, b6, ab, ba, 7atime：48:25:313
TX : ID - 71C, DATA - 27, cc, 43, 9, b7, 25, d4, etime：48:25:314
TX : ID - 71C, DATA - 28, 30, 7f, 1, 42, 51, 6d, 7ctime：48:25:314
TX : ID - 71C, DATA - 29, d8, 2b, 1b, 79, c1, 1d, 18time：48:25:314
TX : ID - 71C, DATA - 2a, 2d, 67, 3e, 3d, ba, 2f, 9time：48:25:314
TX : ID - 71C, DATA - 2b, 71, 9b, 2d, 4e, 4b, 68, bbtime：48:25:314
TX : ID - 71C, DATA - 2c, 4e, b8, 4c, 61, 17, 95, 0time：48:25:314
TX : ID - 71C, DATA - 2d, e3, 67, b8, 2d, 91, 9e, dctime：48:25:314
TX : ID - 71C, DATA - 2e, 3, e4, 9d, 24, c4, d9, e3time：48:25:315
TX : ID - 71C, DATA - 2f, 75, ec, e, 89, db, c8, 1ctime：48:25:315
