开始记录20240103112735
TX : ID - 71C, DATA - 27, 1, 0, 99, 84, 1, 0, 0time：27:38:773
TX : ID - 71C, DATA - 28, 0, 0, 0, 99, 84, 1, 0time：27:38:774
TX : ID - 71C, DATA - 29, 95, 77, 2, 0, d, a8, 2time：27:38:774
TX : ID - 71C, DATA - 2a, 0, 17, a8, 2, 0, 21, a8time：27:38:774
TX : ID - 71C, DATA - 2b, 2, 0, 2b, a8, 2, 0, 35time：27:38:774
TX : ID - 71C, DATA - 2c, a8, 2, 0, 3f, a8, 2, 0time：27:38:774
TX : ID - 71C, DATA - 2d, 49, a8, 2, 0, 53, a8, 2time：27:38:774
TX : ID - 71C, DATA - 2e, 0, 5d, a8, 2, 0, 67, a8time：27:38:774
TX : ID - 71C, DATA - 2f, 2, 0, 71, a8, 2, 0, 7btime：27:38:775
TX : ID - 71C, DATA - 20, a8, 2, 0, 85, a8, 2, 0time：27:38:775
TX : ID - 71C, DATA - 21, 8f, a8, 2, 0, 99, a8, 2time：27:38:775
TX : ID - 71C, DATA - 22, 0, a3, a8, 2, 0, ad, a8time：27:38:775
TX : ID - 71C, DATA - 23, 2, 0, 99, 84, 1, 0, 99time：27:38:775
TX : ID - 71C, DATA - 24, 84, 1, 0, 99, 84, 1, 0time：27:38:775
TX : ID - 71C, DATA - 25, 99, 84, 1, 0, 99, 84, 1time：27:38:775
TX : ID - 71C, DATA - 26, 0, 99, 84, 1, 0, 99, 84time：27:38:775
TX : ID - 71C, DATA - 27, 1, 0, 99, 84, 1, 0, 99time：27:38:775
TX : ID - 71C, DATA - 28, 84, 1, 0, 99, 84, 1, 0time：27:38:776
TX : ID - 71C, DATA - 29, 99, 84, 1, 0, 99, 84, 1time：27:38:776
TX : ID - 71C, DATA - 2a, 0, 99, 84, 1, 0, 99, 84time：27:38:776
TX : ID - 71C, DATA - 2b, 1, 0, 99, 84, 1, 0, 99time：27:38:776
TX : ID - 71C, DATA - 2c, 84, 1, 0, 99, 84, 1, 0time：27:38:776
TX : ID - 71C, DATA - 2d, 99, 84, 1, 0, 99, 84, 1time：27:38:776
TX : ID - 71C, DATA - 2e, 0, 99, 84, 1, 0, 99, 84time：27:38:777
TX : ID - 71C, DATA - 2f, 1, 0, 99, 84, 1, 0, e9time：27:38:777
TX : ID - 71C, DATA - 20, d9, 1, 0, fd, d9, 1, 0time：27:38:777
TX : ID - 71C, DATA - 21, 99, 84, 1, 0, 99, 84, 1time：27:38:777
TX : ID - 71C, DATA - 22, 0, 99, 84, 1, 0, 99, 84time：27:38:778
TX : ID - 71C, DATA - 23, 1, 0, 99, 84, 1, 0, 99time：27:38:778
TX : ID - 71C, DATA - 24, 84, 1, 0, d9, d9, 1, 0time：27:38:779
TX : ID - 71C, DATA - 25, a9, d9, 1, 0, 99, 84, 1time：27:38:779
TX : ID - 71C, DATA - 26, 0, 99, 84, 1, 0, 99, 84time：27:38:779
TX : ID - 71C, DATA - 27, 1, 0, 99, 84, 1, 0, 99time：27:38:779
TX : ID - 71C, DATA - 28, 84, 1, 0, 99, 84, 1, 0time：27:38:779
TX : ID - 71C, DATA - 29, 99, 84, 1, 0, 99, 84, 1time：27:38:780
TX : ID - 71C, DATA - 2a, 0, 99, 84, 1, 0, 99, 84time：27:38:780
TX : ID - 71C, DATA - 2b, 1, 0, 99, 84, 1, 0, 99time：27:38:780
TX : ID - 71C, DATA - 2c, 84, 1, 0, 99, 84, 1, 0time：27:38:781
TX : ID - 71C, DATA - 2d, 99, 84, 1, 0, 99, 84, 1time：27:38:781
TX : ID - 71C, DATA - 2e, 0, 99, 84, 1, 0, 99, 84time：27:38:781
TX : ID - 71C, DATA - 2f, 1, 0, 99, 84, 1, 0, 99time：27:38:781
TX : ID - 71C, DATA - 20, 84, 1, 0, 99, 84, 1, 0time：27:38:781
TX : ID - 71C, DATA - 21, 99, 84, 1, 0, 99, 84, 1time：27:38:782
TX : ID - 71C, DATA - 22, 0, 99, 84, 1, 0, 99, 84time：27:38:782
TX : ID - 71C, DATA - 23, 1, 0, 99, 84, 1, 0, 99time：27:38:782
TX : ID - 71C, DATA - 24, 84, 1, 0, 99, 84, 1, 0time：27:38:782
TX : ID - 71C, DATA - 25, 99, 84, 1, 0, 99, 84, 1time：27:38:783
TX : ID - 71C, DATA - 26, 0, e5, 92, 2, 0, ef, 92time：27:38:783
TX : ID - 71C, DATA - 27, 2, 0, f9, 92, 2, 0, 3time：27:38:783
TX : ID - 71C, DATA - 28, 93, 2, 0, d, 93, 2, 0time：27:38:783
TX : ID - 71C, DATA - 29, 99, 84, 1, 0, 99, 84, 1time：27:38:783
TX : ID - 71C, DATA - 2a, 0, 17, 93, 2, 0, 21, 93time：27:38:784
